word_original,en,zh,fr,ko,de,ru
advance,advance,前进,avancer,진보하다,Vorschritt,продвигаться
afternoon,afternoon,下午,après-midi,오후,Nachmittag,день
airplane,airplane,飞机,avion,비행기,Flugzeug,самолёт
alive,alive,活着,vivant,살아있는,lebendig,живой
angry,angry,愤怒,fâché,화난,wütend,сердитый
ankle,ankle,脚踝,cheville,발목,Knöchel,лодыжка
ant,ant,蚂蚁,fourmi,개미,Ameise,муравей
apple,apple,苹果,pomme,사과,Apfel,яблоко
arch,arch,拱门,arche,아치,Bogen,арка
arrow,arrow,箭,flèche,화살,Pfeil,стрела
asleep,asleep,睡着,endormi,잠든,schlafend,спящий
awake,awake,清醒,éveillé,깨어있는,wach,бодрствующий
bag,bag,包,sac,가방,Tasche,сумка
bamboo,bamboo,竹子,bambou,대나무,Bambus,бамбук
bandage,bandage,绷带,pansement,붕대,Verband,бинт
barrel,barrel,桶,tonneau,통,Fass,бочка
basket,basket,篮子,panier,바구니,Korb,корзина
bathroom,bathroom,浴室,salle de bain,화장실,Badezimmer,ванная
beach,beach,海滩,plage,해변,Strand,пляж
beak,beak,喙,bec,부리,Schnabel,клюв
beard,beard,胡子,barbe,수염,Bart,борода
beauty,beauty,美,beauté,아름다움,Schönheit,красота
bee,bee,蜜蜂,abeille,벌,Biene,пчела
beetle,beetle,甲虫,scarabée,딱정벌레,Käfer,жук
bell,bell,铃,cloche,종,Glocke,колокол
belt,belt,腰带,ceinture,벨트,Gürtel,ремень
bend,bend,弯曲,plier,구부리다,biegen,гнуть
bird,bird,鸟,oiseau,새,Vogel,птица
bite,bite,咬,mordre,물다,beißen,кусать
black,black,黑色,noir,검은,schwarz,чёрный
blanket,blanket,毯子,couverture,담요,Decke,одеяло
blink,blink,眨眼,cligner,깜빡이다,blinzeln,моргать
blue,blue,蓝色,bleu,파란,blau,синий
boil,boil,煮,bouillir,끓다,kochen,кипеть
bone,bone,骨头,os,뼈,Knochen,кость
book,book,书,livre,책,Buch,книга
bottle,bottle,瓶子,bouteille,병,Flasche,бутылка
bowl,bowl,碗,bol,그릇,Schüssel,миска
