word_original,fr,de,ru,zh,ko
cloud,nuage,Wolke,облако,云,구름
bag,sac,Tasche,сумка,包,가방
mouth,bouche,Mund,рот,口,입
soil,sol,Boden,почва,土,흙
mountain,montagne,Berg,гора,山,산
heart,cœur,Herz,сердце,心,심장
hand,main,Hand,рука,手,손
star,étoile,Stern,звезда,星,별
spring,ressort,Feder,пружина,春,봄
moon,lune,Mond,луна,月,달
village,village,Dorf,деревня,村,마을
forest,forêt,Wald,лес,林,숲
grid,grille,Gitter,сетка,格,격자
song,chanson,Lied,песня,歌,노래
pond,étang,Teich,пруд,池,연못
sand,sable,Sand,песок,沙,모래
law,loi,Gesetz,закон,法,법
wave,onde,Welle,волна,波,파도
ocean,océan,Ozean,океан,洋,대양
cave,grotte,Höhle,пещера,洞,동굴
sea,mer,Meer,море,海,바다
lake,lac,See,озеро,湖,호수
source,source,Quelle,источник,源,출처
point,point,Punkt,точка,点,점
version,version,Version,версия,版,버전
ball,ballon,Ball,мяч,球,공
rice,riz,Reis,рис,米,쌀
red,rouge,rot,красный,红,빨간
line,ligne,Linie,линия,线,선
net,filet,Netz,сетка,网,그물
flower,fleur,Blume,цветок,花,꽃
tea,thé,Tee,чай,茶,차
foot,pied,Fuß,нога,足,발
gold,or,Gold,золото,金,금
door,porte,Tür,дверь,门,문
snow,neige,Schnee,снег,雪,눈
horse,cheval,Pferd,лошадь,马,말
two,deux,zwei,два,二,둘
three,trois,drei,три,三,셋
four,quatre,vier,четыре,四,넷
five,cinq,fünf,пять,五,다섯
six,six,sechs,шесть,六,여섯
seven,sept,sieben,семь,七,일곱
eight,huit,acht,восемь,八,여덟
nine,neuf,neun,девять,九,아홉
ten,dix,zehn,десять,十,열
head,tête,Kopf,голова,头,머리
strip,bande,Streifen,полоса,条,띠
street,rue,Straße,улица,街,거리
part,partie,Teil,часть,部,부분
field,champ,Feld,поле,场,들판
word,mot,Wort,слово,字,단어
pair,paire,Paar,пара,双,쌍
seat,siège,Sitz,сиденье,座,자리
thousand,mille,tausend,тысяча,千,천
north,nord,Norden,север,北,북쪽
machine,machine,Maschine,машина,机,기계
province,province,Provinz,провинция,省,도
exchange,bourse,Börse,биржа,交,교환
middle,milieu,Mitte,середина,中,중간
color,couleur,Farbe,цвет,色,색
kind,genre,Art,вид,种,종류
judge,juge,Richter,судья,判,판사
school,école,Schule,школа,校,학교
tie,cravate,Krawatte,галстук,结,넥타이
example,exemple,Beispiel,пример,例,예
face,visage,Gesicht,лицо,面,얼굴
bridge,pont,Brücke,мост,桥,다리
delete,supprimer,löschen,удалить,删,삭제
group,groupe,Gruppe,группа,群,그룹
talent,talent,Talent,талант,才,재능
beauty,beauté,Schönheit,красота,美,아름다움
platform,plate-forme,Plattform,платформа,台,플랫폼
house,maison,Haus,дом,屋,집
sun,soleil,Sonne,солнце,阳,해
history,histoire,Geschichte,история,史,역사
valley,vallée,Tal,долина,谷,계곡
square,carré,Quadrat,квадрат,方,광장
generation,génération,Generation,поколение,代,세대
south,sud,Süden,юг,南,남쪽
virtue,vertu,Tugend,добродетель,德,덕
tribe,tribu,Stamm,племя,族,부족
city,ville,Stadt,город,城,도시
speed,vitesse,Geschwindigkeit,скорость,速,속도
ground,sol,Boden,земля,地,땅
attempt,tentative,Versuch,попытка,试,시도
defeat,défaite,Niederlage,поражение,败,패배
tail,queue,Schwanz,хвост,尾,꼬리
mother,mère,Mutter,мать,母,어머니
east,est,Osten,восток,东,동쪽
speech,discours,Rede,речь,话,연설
child,enfant,Kind,ребенок,子,아이
tower,tour,Turm,башня,塔,탑
person,personne,Person,человек,人,사람
office,bureau,Büro,офис,局,사무실
power,pouvoir,Macht,власть,力,힘
summer,été,Sommer,лето,夏,여름
