word_original	en	fr	de	ru	zh	es	ja	ko	it	claude_en	claude_fr	claude_de	claude_ru	claude_zh	claude_es	claude_ja	claude_ko	claude_it
book	book	livre	Buch	книга	书	libro	本	책	libro	['tome', 'volume', 'publication', 'text', 'novel', 'manuscript']	['ouvrage', 'tome', 'bouquin', 'volume', 'publication']	['Band', 'Werk', 'Lektüre', 'Schrift', 'Wälzer']	['том', 'издание', 'произведение', 'труд']	['册', '本', '卷', '著作', '书籍']	['tomo', 'volumen', 'obra', 'texto', 'publicación']	['書籍', '冊子', '書物', '書', '著書']	"[""서적"", ""도서"", ""문헌"", ""저서"", ""교재""]"	"[""volume"", ""tomo"", ""pubblicazione"", ""opera"", ""testo""]"
cloud	cloud	nuage	Wolke	облако	云	nube	雲	구름	nuvola	['mist', 'fog', 'haze', 'vapor']	['nuée', 'brume', 'vapeur']	['Gewölk', 'Dunst', 'Nebel', 'Schleier']	['туча', 'тучка', 'облачко']	['云朵', '云彩', '云层']	['nubarrón', 'nubosidad']	['雲霧', '雲海', '曇']	"[""운"", ""먹구름"", ""뭉게구름""]"	"[""nube"", ""nembo"", ""cumulo""]"
bag	bag	sac	Tasche	сумка	包	bolsa	鞄	가방	borsa	['sack', 'pouch', 'purse', 'container', 'tote']	['sacoche', 'poche', 'besace', 'sac à main']	['Beutel', 'Sack', 'Tüte', 'Rucksack', 'Koffer']	['сумочка', 'мешок', 'пакет', 'портфель']	['袋', '包包', '手提包', '背包']	['saco', 'bolso', 'mochila', 'cartera']	['バッグ', 'かばん', '袋', '手提げ']	"[""백"", ""핸드백"", ""파우치"", ""보따리""]"	"[""sacca"", ""sacco"", ""borsetta"", ""valigia""]"
mountain	mountain	montagne	Berg	гора	山	montaña	山	산	montagna	['peak', 'summit', 'hill', 'mount', 'alp']	['mont', 'pic', 'sommet', 'massif']	['Gipfel', 'Erhebung', 'Gebirge', 'Anhöhe', 'Hügel']	['вершина', 'холм', 'возвышенность']	['山峰', '山岳', '高山', '山脉']	['monte', 'cerro', 'colina', 'cordillera', 'pico']	['山岳', '山脈', '丘', '峰', '高山']	"[""봉우리"", ""산맥"", ""고산"", ""산악""]"	"[""monte"", ""picco"", ""vetta"", ""cima""]"
cloth	cloth	tissu	Stoff	ткань	布	tela	布	천	tessuto	['fabric', 'textile', 'material', 'linen']	['étoffe', 'textile', 'toile']	['Gewebe', 'Textilie', 'Tuch', 'Zeug', 'Gewand']	['материал', 'полотно', 'материя', 'текстиль']	['布料', '织物', '布匹', '布帛']	['tejido', 'textil', 'lienzo', 'paño']	['織物', '生地', 'テキスタイル', '反物']	"[""직물"", ""섬유"", ""옷감"", ""헝겊""]"	"[""stoffa"", ""panno"", ""tela""]"
heart	heart	cœur	Herz	сердце	心	corazón	心臓	심장	cuore	['core', 'center', 'essence', 'soul', 'ticker']	['organe', 'centre', 'noyau']	['Gemüt', 'Seele', 'Kern', 'Mitte', 'Zentrum']	['душа', 'центр', 'ядро']	['内心', '心脏', '心灵', '中心']	['alma', 'núcleo', 'centro', 'esencia']	['心', '心情', '胸', '循環器']	"[""가슴"", ""마음"", ""중심"", ""핵심""]"	"[""cuor"", ""animo"", ""centro"", ""essenza""]"
day	day	jour	Tag	день	日	día	日	날	giorno	['daytime', 'daylight', 'sunlight', 'diurnal']	['journée', 'date', 'période']	['Tageszeit', 'Tageslicht', 'Zeitraum', 'Datum']	['сутки', 'световой день', 'дневное время']	['天', '白天', '日子', '昼']	['jornada', 'fecha', 'diurno']	['一日', '昼間', '日中', '日々', '日付']	"[""하루"", ""일"", ""낮"", ""주간""]"	"[""dì"", ""giornata"", ""data""]"
star	star	étoile	Stern	звезда	星	estrella	星	별	stella	['celestial body', 'sun', 'luminary', 'asteroid']	['astre', 'vedette', 'célébrité']	['Gestirn', 'Himmelskörper', 'Berühmtheit', 'Idol']	['светило', 'знаменитость']	['恒星', '明星', '星辰', '星球']	['astro', 'luminaria', 'celebridad']	['恒星', '星座', 'スター', '俳優']	"[""스타"", ""천체"", ""성좌""]"	"[""astro"", ""celebrità"", ""divo""]"
spring	spring	printemps	Frühling	весна	春	primavera	春	봄	primavera	['fountain', 'source', 'wellspring', 'coil']	['source', 'ressort']	['Lenz', 'Frühjahr', 'Frühlingszeit']	['весенний сезон']	['春天', '春季', '暮春', '初春']	['resorte', 'fuente', 'manantial']	['春季', '泉', 'バネ', '春分']	"[""춘계"", ""새봄"", ""만춘""]"	"[""fonte"", ""sorgente"", ""molla""]"
moon	moon	lune	Mond	луна	月	luna	月	달	luna	['lunar', 'satellite', 'crescent', 'luna']	['satellite', 'astre']	['Erdtrabant', 'Luna', 'Himmelskörper']	['месяц', 'спутник']	['月亮', '月球', '月份']	['satélite', 'lunación']	['衛星', '月球', '月面', '満月', '三日月']	"[""월"", ""위성"", ""초승달"", ""보름달""]"	"[""satellite"", ""selene""]"
