word_original,en,zh,fr,ko,de,ru,es
advance,advance,前进,avancer,진보하다,Vorschritt,продвигаться,avanzar
attempt,attempt,试图,tentative,시도하다,Versuch,попытка,intento
bag,bag,包,sac,가방,Tasche,сумка,bolsa
ball,ball,球,ballon,공,Ball,мяч,pelota
beauty,beauty,美,beauté,아름다움,Schönheit,красота,belleza
benefit,benefit,利益,bénéfice,혜택,Nutzen,выгода,beneficio
book,book,书,livre,책,Buch,книга,libro
bridge,bridge,桥,pont,다리,Brücke,мост,puente
cave,cave,洞穴,grotte,동굴,Höhle,пещера,cueva
child,child,孩子,enfant,아이,Kind,ребёнок,niño
city,city,城市,ville,도시,Stadt,город,ciudad
cloth,cloth,布料,tissu,천,Tuch,ткань,tela
cloud,cloud,云,nuage,구름,Wolke,облако,nube
color,color,颜色,couleur,색깔,Farbe,цвет,color
dance,dance,跳舞,danse,춤,Tanz,танец,bailar
day,day,日,jour,날,Tag,день,día
defeat,defeat,失败,défaite,패배,Niederlage,поражение,derrota
delete,delete,删除,supprimer,삭제하다,löschen,удалить,borrar
door,door,门,porte,문,Tür,дверь,puerta
east,east,东,est,동쪽,Osten,восток,este
eight,eight,八,huit,여덟,Acht,восемь,ocho
electric,electric,电气,électrique,전기의,elektrisch,электрический,eléctrico
example,example,例子,exemple,예,Beispiel,пример,ejemplo
exchange,exchange,交换,échange,교환,Austausch,обмен,intercambio
eye,eye,眼睛,œil,눈,Auge,глаз,ojo
face,face,脸,visage,얼굴,Gesicht,лицо,cara
field,field,田野,champ,들판,Feld,поле,campo
fire,fire,火,feu,불,Feuer,огонь,fuego
five,five,五,cinq,다섯,Fünf,пять,cinco
flower,flower,花,fleur,꽃,Blume,цветок,flor
foot,foot,脚,pied,발,Fuß,нога,pie
forest,forest,森林,forêt,숲,Wald,лес,bosque
four,four,四,quatre,넷,Vier,четыре,cuatro
friend,friend,朋友,ami,친구,Freund,друг,amigo
fruit,fruit,水果,fruit,과일,Frucht,фрукт,fruta
generation,generation,代,génération,세대,Generation,поколение,generación
gold,gold,金,or,금,Gold,золото,oro
grid,grid,网格,grille,격자,Gitter,сетка,cuadrícula
ground,ground,地面,sol,땅,Boden,земля,suelo
group,group,群体,groupe,그룹,Gruppe,группа,grupo
hair,hair,头发,cheveux,머리카락,Haar,волосы,pelo
hand,hand,手,main,손,Hand,рука,mano
head,head,头,tête,머리,Kopf,голова,cabeza
heart,heart,心脏,cœur,심장,Herz,сердце,corazón
history,history,历史,histoire,역사,Geschichte,история,historia
horse,horse,马,cheval,말,Pferd,лошадь,caballo
house,house,房子,maison,집,Haus,дом,casa
household,household,家庭,ménage,가정,Haushalt,домохозяйство,hogar
hundred,hundred,百,cent,백,Hundert,сто,cien
item,item,项目,article,항목,Gegenstand,предмет,artículo
judge,judge,法官,juge,판사,Richter,судья,juez
kind,kind,种类,genre,종류,Art,вид,tipo
lake,lake,湖,lac,호수,See,озеро,lago
language,language,语言,langue,언어,Sprache,язык,idioma
law,law,法律,loi,법,Gesetz,закон,ley
left,left,左边,gauche,왼쪽,Links,левый,izquierda
light,light,光,lumière,빛,Licht,свет,luz
line,line,线,ligne,선,Linie,линия,línea
machine,machine,机器,machine,기계,Maschine,машина,máquina
male,male,男性,masculin,남성,männlich,мужской,masculino
meaning,meaning,意义,sens,의미,Bedeutung,значение,significado
meeting,meeting,会议,réunion,회의,Treffen,встреча,reunión
middle,middle,中间,milieu,중间,Mitte,середина,medio
moon,moon,月亮,lune,달,Mond,луна,luna
mother,mother,母亲,mère,어머니,Mutter,мать,madre
mountain,mountain,山,montagne,산,Berg,гора,montaña
mouth,mouth,嘴,bouche,입,Mund,рот,boca
net,net,网,filet,그물,Netz,сеть,red
nine,nine,九,neuf,아홉,Neun,девять,nueve
north,north,北,nord,북쪽,Norden,север,norte
ocean,ocean,海洋,océan,대양,Ozean,океан,océano
office,office,办公室,bureau,사무실,Büro,офис,oficina
official,official,官员,officiel,공무원,Beamter,чиновник,oficial
one,one,一,un,하나,Eins,один,uno
painting,painting,绘画,peinture,그림,Gemälde,картина,pintura
pair,pair,对,paire,쌍,Paar,пара,par
part,part,部分,partie,부분,Teil,часть,parte
person,person,人,personne,사람,Person,человек,persona
platform,platform,平台,plate-forme,플랫폼,Plattform,платформа,plataforma
point,point,点,point,점,Punkt,точка,punto
pond,pond,池塘,étang,연못,Teich,пруд,estanque
position,position,位置,position,위치,Position,позиция,posición
power,power,力量,pouvoir,힘,Macht,власть,poder
province,province,省份,province,도,Provinz,провинция,provincia
red,red,红色,rouge,빨간,Rot,красный,rojo
return,return,返回,retour,돌아가다,Rückkehr,возвращаться,regresar
rice,rice,米饭,riz,쌀,Reis,рис,arroz
rise,rise,上升,lever,상승하다,steigen,подниматься,subir
river,river,河流,rivière,강,Fluss,река,río
rock,rock,岩石,roche,바위,Fels,скала,roca
sand,sand,沙子,sable,모래,Sand,песок,arena
school,school,学校,école,학교,Schule,школа,escuela
sea,sea,海,mer,바다,Meer,море,mar
seat,seat,座位,siège,자리,Sitz,сиденье,asiento
section,section,部分,section,부문,Abschnitt,раздел,sección
seven,seven,七,sept,일곱,Sieben,семь,siete
shop,shop,商店,magasin,가게,Laden,магазин,tienda
site,site,地点,site,장소,Standort,место,sitio
six,six,六,six,여섯,Sechs,шесть,seis
snow,snow,雪,neige,눈,Schnee,снег,nieve
soil,soil,土壤,sol,흙,Boden,почва,suelo
song,song,歌曲,chanson,노래,Lied,песня,canción
sound,sound,声音,son,소리,Klang,звук,sonido
source,source,来源,source,출처,Quelle,источник,fuente
south,south,南,sud,남쪽,Süden,юг,sur
speech,speech,演讲,discours,연설,Rede,речь,discurso
speed,speed,速度,vitesse,속도,Geschwindigkeit,скорость,velocidad
spring,spring,春天,printemps,봄,Frühling,весна,primavera
square,square,广场,carré,광장,Quadrat,квадрат,plaza
star,star,星星,étoile,별,Stern,звезда,estrella
station,station,站台,gare,역,Bahnhof,станция,estación
street,street,街道,rue,거리,Straße,улица,calle
strip,strip,条带,bande,띠,Streifen,полоса,tira
structure,structure,结构,structure,구조,Struktur,структура,estructura
summer,summer,夏天,été,여름,Sommer,лето,verano
sun,sun,太阳,soleil,해,Sonne,солнце,sol
tail,tail,尾巴,queue,꼬리,Schwanz,хвост,cola
talent,talent,才能,talent,재능,Talent,талант,talento
tea,tea,茶,thé,차,Tee,чай,té
ten,ten,十,dix,열,Zehn,десять,diez
thousand,thousand,千,mille,천,Tausend,тысяча,mil
three,three,三,trois,셋,Drei,три,tres
tie,tie,领带,cravate,넥타이,Krawatte,галстук,corbata
time,time,时间,temps,시간,Zeit,время,tiempo
tower,tower,塔,tour,탑,Turm,башня,torre
tribe,tribe,部落,tribu,부족,Stamm,племя,tribu
two,two,二,deux,둘,Zwei,два,dos
valley,valley,山谷,vallée,계곡,Tal,долина,valle
version,version,版本,version,버전,Version,версия,versión
village,village,村庄,village,마을,Dorf,деревня,pueblo
virtue,virtue,美德,vertu,덕,Tugend,добродетель,virtud
water,water,水,eau,물,Wasser,вода,agua
wave,wave,波浪,vague,파도,Welle,волна,ola
white,white,白色,blanc,하얀,Weiß,белый,blanco
wood,wood,木材,bois,나무,Holz,древесина,madera
word,word,词,mot,단어,Wort,слово,palabra
yellow,yellow,黄色,jaune,노란,Gelb,жёлтый,amarillo
